country,phenomena_count,max_observed_mag,doublet_count,years_span,annual_rate,prob_1y,prob_5y,prob_10y,b_value,mag_p10_exceedance
Fiji,107,7.9,7,159.0,0.6729559748427673,0.48980178649703987,0.9654303750536076,0.9988049410310658,1.1955871619454181,6.8364091149764725
India,102,7.96,6,159.0,0.6415094339622641,0.4735028886628394,0.9595442773090249,0.9983633345015509,1.1288520829254207,6.885855653832431
Panama,98,7.5,4,159.0,0.6163522012578616,0.46008966594513234,0.9541216066696628,0.9978951730254269,1.3394010788985895,6.746602355152883
Afghanistan,94,7.8,4,159.0,0.5911949685534591,0.44633472332089474,0.9479720831920111,0.9972930958726209,0.9585779105071762,7.043212021723834
Iran,93,7.7,8,159.0,0.5849056603773585,0.44284157855186224,0.9463099885822369,0.9971173826739604,1.1903322299112218,6.840101590859707
Canada,91,7.8,8,159.0,0.5723270440251572,0.4357890338827083,0.9428248102388614,0.9967309976757778,1.2379831185839885,6.807765457370538
Turkey,90,7.8,8,159.0,0.5660377358490566,0.4322293550154608,0.940998279780886,0.9965187970111854,0.8848259765724719,7.1301657348190375
New Caledonia,86,7.7,25,159.0,0.5408805031446541,0.4177646334628351,0.9330897102480169,0.9955230131253057,1.074701325080959,6.930491083115273
Timor Leste,86,7.5,2,159.0,0.5408805031446541,0.4177646334628351,0.9330897102480169,0.9955230131253057,0.9471602083639683,7.055787596617157
Ecuador,76,7.8,17,159.0,0.4779874213836478,0.3799700039476097,0.9083645530680691,0.9916029448655853,0.9566410899337378,7.045324114260308
Guatemala,69,7.7,4,159.0,0.4339622641509434,0.352063294534257,0.8858008381100952,0.9869585514236433,1.0412107452570072,6.960420361156727
Colombia,66,7.4,5,159.0,0.41509433962264153,0.33972201260950374,0.8745027832708517,0.9842504485932372,0.9648010705656923,7.03648309533246
Costa Rica,61,7.6,8,159.0,0.3836477987421384,0.3186286352243498,0.8531346346291949,0.9784305644544999,0.9721927927670517,7.028602564676296
Northern Mariana Islands,58,7.7,1,159.0,0.36477987421383645,0.3056505217184855,0.8386048173828602,0.9739515950279801,1.0150177546397858,6.985204441428598
Nicaragua,58,7.7,5,159.0,0.36477987421383645,0.3056505217184855,0.8386048173828602,0.9739515950279801,0.9671788030891361,7.033934983692813
Myanmar,54,7.88,4,159.0,0.33962264150943394,0.28796103397854345,0.8169714646728448,0.9665005552559963,0.8900734964801629,7.123502726409163
Wallis and Futuna,54,7.6,7,159.0,0.33962264150943394,0.28796103397854345,0.8169714646728448,0.9665005552559963,1.4658681025338547,6.682189617381967
California,47,7.41,4,159.0,0.29559748427672955,0.255913125583373,0.771903711542715,0.9479720831920111,1.276628260725031,6.783313381635523
Kazakhstan,45,6.6,0,159.0,0.2830188679245283,0.24649442936064547,0.7570973029809795,0.940998279780886,4.17590847983892,6.239468849671383
Pakistan,42,7.7,4,159.0,0.2641509433962264,0.23214237212930222,0.7330662335221094,0.928746364313927,1.088571025136087,6.918635511059084
El Salvador,40,7.7,1,159.0,0.25157232704402516,0.2224227842856269,0.7157387687390309,0.9191955524019978,0.9181701520153334,7.089122748986181
Guam,40,7.8,3,159.0,0.25157232704402516,0.2224227842856269,0.7157387687390309,0.9191955524019978,1.2039847023060473,6.830575337115707
Micronesia,34,7.03,3,159.0,0.2138364779874214,0.19251958494993382,0.6567109206863088,0.8821526080239582,1.5406419779885256,6.6490800681061595
California Earthquake,34,7.9,3,159.0,0.2138364779874214,0.19251958494993382,0.6567109206863088,0.8821526080239582,0.6982850088663277,7.43208000644824
Bolivia,33,8.2,0,159.0,0.20754716981132076,0.18742508813617909,0.6457441366340589,0.8745027832708517,0.8846739446177362,7.130359954742531
Tajikistan,31,7.5,2,159.0,0.1949685534591195,0.17713946623342047,0.62274833480027,0.8576811811040309,0.9375245958546412,7.066638682784004
Venezuela,30,7.5,4,159.0,0.18867924528301888,0.17194793429121435,0.610696574942752,0.8484428432386957,1.1228906756433887,6.890558646260932
